Marque,Model,Année,Code Postal,Carburant,Emission Co2,Transmission,nbPortes,nbPlace,Kilométrage,Prix
OPEL INSIGNIA 2 SPORTS TOURER,II SPORTS TOURER 1.6 ECOTEC DIESEL 136 ELITE,2017,31,Diesel,110-130,Manuelle,5,5,119 000 ,13 900 
VOLKSWAGEN TOURAN 2,II 1.6 TDI 105 FAP BLUEMOTION TECHNOLOGY CARAT,2011,55,Diesel,110-130,Manuelle,5,5,72 330 ,13 490 
AUDI Q3,(2) 2.0 TDI 120 AMBIENTE,2016,24,Diesel,110-130,Manuelle,5,5,114 100 ,17 990 
OPEL MOKKA,1.6 CDTI 136 4X2 ECOFLEX S/S COSMO PACK,2016,66,Diesel,110-130,Manuelle,5,5,121 019 ,10 990 
HONDA CR-V 4,IV (2) 1.6 I-DTEC 120 2WD EXECUTIVE NAVI PLUS,2018,69,Diesel,110-130,Manuelle,5,5,88 653 ,21 300 
OPEL ASTRA 5,V (2) 1.5 DIESEL 122 ULTIMATE,2020,55,Diesel,110-130,Manuelle,5,5,26 569 ,19 490 
BMW SERIE 3 F31 TOURING,(F31) (2) TOURING 318D 150 LUXURY,2016,28,Diesel,110-130,Manuelle,5,5,126 220 ,17 480 
VOLKSWAGEN GOLF 8,VIII 2.0 TDI SCR 115 LIFE BUSINESS 1ST BV6,2020,62,Diesel,110-130,Manuelle,5,5,13 500 ,24 990 
MERCEDES GLA,180 D FASCINATION,2016,66,Diesel,110-130,Manuelle,5,5,93 050 ,21 890 
DACIA DUSTER 2,II 1.5 DCI 110 CONFORT 4X2,2018,69,Diesel,110-130,Manuelle,5,5,36 680 ,16 490 
DACIA DUSTER,1.5 DCI 110 FAP 4X2 PRESTIGE 2,2013,11,Diesel,110-130,Manuelle,5,5,56 264 ,10 990 
PEUGEOT 3008,(2) 2.0 BLUEHDI 150 S&S 8CV ACTIVE BUSINESS,2016,24,Diesel,110-130,Manuelle,5,5,120 096 ,13 490 
ALFA ROMEO GIULIETTA 3,III (3) 2.0 JTDM 150 S/S GIULIETTA,2017,26,Diesel,110-130,Manuelle,5,5,89 545 ,14 490 
JAGUAR XE,2.0D 180 9CV PURE,2019,66,Diesel,110-130,Manuelle,5,5,36 578 ,24 890 
FORD KUGA 2,II (2) 2.0 TDCI 150 S&S 4X2 ST LINE,2018,35,Diesel,110-130,Manuelle,5,5,68 812 ,20 990 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 BUSINESS,2019,91,Diesel,110-130,Manuelle,5,5,50 426 ,18 400 
OPEL CROSSLAND,(2) 1.5 DIESEL 110 ELEGANCE,2021,55,Diesel,110-130,Manuelle,5,5,15 ,20 970 
BMW X1 F48,(F48) XDRIVE18D BUSINESS,2017,66,Diesel,110-130,Manuelle,5,5,72 914 ,23 490 
MINI COUNTRYMAN,COOPER SD 143,2012,66,Diesel,110-130,Manuelle,5,5,97 100 ,16 490 
DACIA DUSTER,(2) 1.5 DCI 110 FAP PRESTIGE 4X2 EURO6,2015,36,Diesel,110-130,Manuelle,5,5,117 475 ,11 090 
LAND ROVER RANGE ROVER EVOQUE,(2) TD4 180 SE,2017,38,Diesel,110-130,Manuelle,5,5,73 783 ,26 490 
BMW SERIE 1 F20 5 PORTES,(F20) (2) 116D 116 BUSINESS DESIGN,2018,78,Diesel,110-130,Manuelle,5,5,105 749 ,16 290 
CITROEN C4 AIRCROSS,1.6 E-HDI 115 CONFORT 4X2 BV6,2015,80,Diesel,110-130,Manuelle,5,5,182 872 ,8 890 
MERCEDES GLA,200 CDI INSPIRATION,2014,66,Diesel,110-130,Manuelle,5,5,89 742 ,17 890 
FORD FIESTA 6,VI 1.5 TDCI 85 S&S ST-LINE 5P,2020,91,Diesel,110-130,Manuelle,5,5,65 789 ,13 500 
AUDI Q2,1.6 TDI 116 DESIGN,2018,57,Diesel,110-130,Manuelle,5,5,59 490 ,21 480 
JEEP COMPASS 2,II 1.6 MJET 120 LONGITUDE BUSINESS,2018,24,Diesel,110-130,Manuelle,5,5,57 177 ,20 990 
FIAT TIPO 2 CROSS,II CROSS 1.3 MULTIJET 95 S/S PLUS,2021,24,Diesel,110-130,Manuelle,5,5,100 ,21 990 
CITROEN C3 AIRCROSS,1.5 BLUEHDI 110 S&S SHINE BV6,2021,47,Diesel,110-130,Manuelle,5,5,19 802 ,20 900 
PEUGEOT 3008,(2) 1.6 HDI 115 FAP ALLURE,2014,80,Diesel,110-130,Manuelle,5,5,148 783 ,10 900 
FIAT TIPO 2,II 1.6 MULTIJET 120 S/S LOUNGE 5P,2019,91,Diesel,110-130,Manuelle,5,5,33 920 ,13 200 
VOLKSWAGEN GOLF SPORTSVAN,1.6 TDI 115 BLUEMOTION TECHNOLOGY SOUND,2017,57,Diesel,110-130,Manuelle,5,5,84 000 ,15 880 
FORD KUGA 2,II (2) 1.5 TDCI 120 S&S 4X2 BUSINESS NAV,2016,35,Diesel,110-130,Manuelle,5,5,84 953 ,20 280 
VOLKSWAGEN PASSAT 8 SW,VIII SW 2.0 TDI 150 BLUEMOTION TECHNOLOGY CONFORTLINE,2018,14,Diesel,110-130,Manuelle,5,5,22 470 ,24 660 
SEAT LEON 3,III (2) 2.0 TDI FAP 150 START/STOP FR,2016,6,Diesel,110-130,Manuelle,5,5,70 018 ,20 330 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BUSINESS BV6,2021,30,Diesel,110-130,Manuelle,5,5,40 026 ,16 820 
CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S FEEL BV6,2020,13,Diesel,110-130,Manuelle,5,5,177 ,30 660 
BMW SERIE 3 F31 TOURING,(F31) (2) TOURING 316D 116 LOUNGE,2017,31,Diesel,110-130,Manuelle,5,5,65 718 ,25 100 
JEEP COMPASS 2,II 1.6 MJET 120 LIMITED,2020,30,Diesel,110-130,Manuelle,5,5,56 119 ,28 110 
CITROEN C3 AIRCROSS,1.5 BLUEHDI 100 S&S SHINE BV6,2022,77,Diesel,110-130,Manuelle,5,5,28 316 ,23 570 
PEUGEOT 3008,(2) 1.6 HDI 115 FAP ACTIVE,2013,47,Diesel,110-130,Manuelle,5,5,141 434 ,11 780 
JAGUAR F-PACE,2.0 D 163 PRESTIGE,2018,14,Diesel,110-130,Manuelle,5,5,53 294 ,38 660 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 LIFE,2020,77,Diesel,110-130,Manuelle,5,5,84 142 ,17 010 
OPEL GRANDLAND X,1.6 ECOTEC DIESEL 120 ELITE,2019,26,Diesel,110-130,Manuelle,5,5,106 198 ,21 510 
VOLKSWAGEN TIGUAN,(2) 2.0 TDI 110 BLUEMOTION TECHNOLOGY SPORTLINE,2014,10,Diesel,110-130,Manuelle,5,5,149 833 ,16 360 
PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S 7CV ALLURE,2021,47,Diesel,110-130,Manuelle,5,5,23 858 ,23 520 
AUDI Q3,(2) 2.0 TDI ULTRA 150,2017,31,Diesel,110-130,Manuelle,5,5,110 172 ,23 860 
SEAT IBIZA 5,V 1.6 TDI 95 STYLE BUSINESS,2020,30,Diesel,110-130,Manuelle,5,5,2 220 ,19 960 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,2021,67,Diesel,110-130,Manuelle,5,5,62 190 ,11 970 
OPEL ASTRA 5,V (2) 1.5 DIESEL 122 ELEGANCE,2021,65,Diesel,110-130,Manuelle,5,5,18 362 ,21 760 
MERCEDES GLA,(2) 200 D BUSINESS EDITION,2018,77,Diesel,110-130,Manuelle,5,5,48 646 ,28 170 
BMW X1 F48,(F48) XDRIVE18D M SPORT,2020,67,Diesel,110-130,Manuelle,5,5,66 219 ,31 550 
RENAULT KADJAR,1.5 DCI 115 BLUE INTENS,2018,62,Diesel,110-130,Manuelle,5,5,40 610 ,23 180 
MERCEDES CLASSE A 4,IV 180 D STYLE LINE,2021,44,Diesel,110-130,Manuelle,5,5,13 691 ,34 970 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 INTENS,2018,44,Diesel,110-130,Manuelle,5,5,50 528 ,20 500 
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,2019,91,Diesel,110-130,Manuelle,5,5,22 453 ,18 580 
DACIA DUSTER 2,II 1.5 DCI 110 CONFORT 4X2,2019,63,Diesel,110-130,Manuelle,5,5,90 935 ,15 920 
AUDI Q2,30 TDI 116 S LINE,2017,29,Diesel,110-130,Manuelle,5,5,41 114 ,31 590 
OPEL MOKKA 2,II 1.5 DIESEL 110 ELEGANCE BUSINESS,2020,67,Diesel,110-130,Manuelle,5,5,5 350 ,28 460 
CITROEN C4 AIRCROSS,1.6 E-HDI 115 4X4 FEEL EDITION BV6,2016,72,Diesel,110-130,Manuelle,5,5,65 103 ,20 140 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 INTENS,2018,38,Diesel,110-130,Manuelle,5,5,23 996 ,23 980 
OPEL MOKKA X,1.6 CDTI 136 4X2 INNOVATION,2017,69,Diesel,110-130,Manuelle,5,5,56 244 ,18 700 
CITROEN C3 AIRCROSS,1.6 BLUEHDI 110 S&S FEEL BV6,2020,44,Diesel,110-130,Manuelle,5,5,28 075 ,20 280 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2 E6U,2020,77,Diesel,110-130,Manuelle,5,5,7 ,25 380 
JEEP COMPASS 2,II 1.6 MJET 120 LONGITUDE BUSINESS,2019,95,Diesel,110-130,Manuelle,5,5,63 070 ,22 230 
RENAULT SCENIC 3,III (2) 1.6 DCI 130 ENERGY FAP BOSE EDITION ECO2 E6,2016,40,Diesel,110-130,Manuelle,5,5,122 500 ,14 980 
BMW X2 F39,(F39) SDRIVE18D M SPORT,2017,84,Diesel,110-130,Manuelle,5,5,75 818 ,37 320 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2 E6U,2022,77,Diesel,110-130,Manuelle,5,5,7 ,25 590 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BV6,2022,56,Diesel,110-130,Manuelle,5,5,10 748 ,22 870 
KIA CEED 3,III 1.6 CRDI 136 ISG ACTIVE BV6,2020,31,Diesel,110-130,Manuelle,5,5,12 678 ,29 740 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2 E6U,2020,27,Diesel,110-130,Manuelle,5,5,16 ,24 810 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BV6,2022,28,Diesel,110-130,Manuelle,5,5,31 602 ,20 100 
PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK,2022,56,Diesel,110-130,Manuelle,5,5,16 044 ,34 960 
FORD KUGA 2,II (2) 1.5 TDCI 120 S&S 4X2 ST LINE,2017,61,Diesel,110-130,Manuelle,5,5,90 950 ,20 960 
FORD MONDEO 4,IV 2.0 TDCI 150 TITANIUM BV6 5P,2017,21,Diesel,110-130,Manuelle,5,5,89 386 ,18 880 
NISSAN JUKE,(2) 1.5 DCI 110 N-CONNECTA EURO6,2018,60,Diesel,110-130,Manuelle,5,5,54 044 ,18 860 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BUSINESS BV6,2019,37,Diesel,110-130,Manuelle,5,5,38 003 ,18 110 
FIAT TIPO 2,II (2) 1.6 MULTIJET 130 S/S SPORT,2021,91,Diesel,110-130,Manuelle,5,5,12 ,29 010 
FORD C-MAX 2,II 1.6 TDCI 115 FAP TITANIUM X,2014,31,Diesel,110-130,Manuelle,5,5,144 694 ,12 530 
OPEL ASTRA 5,V (2) 1.5 DIESEL 105 ELEGANCE,2020,92,Diesel,110-130,Manuelle,5,5,30 105 ,24 230 
PEUGEOT 5008,1.6 HDI 115 FAP ALLURE 5PL,2016,77,Diesel,110-130,Manuelle,5,5,127 248 ,13 470 
FIAT 500 L,(2) 1.6 MULTIJET 120 S/S LOUNGE,2015,47,Diesel,110-130,Manuelle,5,5,73 780 ,14 160 
LAND ROVER RANGE ROVER EVOQUE,(2) ED4 150 PURE,2016,64,Diesel,110-130,Manuelle,5,5,89 297 ,29 620 
DACIA DUSTER 2,II 1.5 DCI 115 BLUE PRESTIGE 4X2 E6U,2022,77,Diesel,110-130,Manuelle,5,5,9 ,24 120 
PEUGEOT 3008,(2) 1.6 HDI 115 CROSSWAY,2015,33,Diesel,110-130,Manuelle,5,5,123 830 ,14 620 
AUDI A5 SPORTBACK,(2) SPORTBACK 2.0 TDI 177 S LINE 5PL,2011,40,Diesel,110-130,Manuelle,5,5,185 885 ,15 800 
CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S LIVE BV6,2022,56,Diesel,110-130,Manuelle,5,5,14 453 ,26 920 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL PACK,2022,68,Diesel,110-130,Manuelle,5,5,13 338 ,22 110 
SKODA OCTAVIA 3 RS,III (2) 2.0 TDI 184 RS,2017,30,Diesel,110-130,Manuelle,5,5,87 406 ,25 280 
CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S SHINE PACK BV6,2022,84,Diesel,110-130,Manuelle,5,5,9 720 ,26 380 
PEUGEOT 3008 (2E GENERATION),II 2.0 BLUEHDI 150 S&S ALLURE,2016,44,Diesel,110-130,Manuelle,5,5,106 340 ,26 150 
KIA CEED 3,III 1.6 CRDI 136 ISG IBVM6 MHEV ACTIVE,2020,60,Diesel,110-130,Manuelle,5,5,32 456 ,26 370 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 150 INITIALE PARIS,2018,77,Diesel,110-130,Manuelle,5,5,30 003 ,25 130 
CITROEN C3 AIRCROSS,1.6 BLUEHDI 100 S&S FEEL BV6,2019,56,Diesel,110-130,Manuelle,5,5,18 618 ,20 500 
MINI MINI CLUBMAN,F54  COOPER D 150CH KENSINGTON,2020,57,Diesel,110-130,Manuelle,5,5,59 926 ,30 840 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 ZEN,2020,45,Diesel,110-130,Manuelle,5,5,22 853 ,21 970 
TOYOTA RAV 4 (3E GENERATION),III (3) 150 D-4D FAP 2WD LIMITED EDITION,2011,13,Diesel,110-130,Manuelle,5,5,117 600 ,15 660 
PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S 7CV ALLURE,2022,28,Diesel,110-130,Manuelle,5,5,27 730 ,35 970 
CITROEN C4 AIRCROSS,1.6 E-HDI 115 EXCLUSIVE 4X2 BV6,2015,27,Diesel,110-130,Manuelle,5,5,120 804 ,16 630 
FIAT 500 L,(2) 1.3 MULTIJET 95 S/S HEY GOOGLE,2020,60,Diesel,110-130,Manuelle,5,5,1 845 ,27 030 
RENAULT KADJAR,1.6 DCI 130 ENERGY BUSINESS,2016,44,Diesel,110-130,Manuelle,5,5,125 053 ,16 930 
FORD KUGA 2,II (2) 2.0 TDCI 150 S&S 4X2 TITANIUM,2017,75,Diesel,110-130,Manuelle,5,5,51 424 ,23 080 
CITROEN C3 AIRCROSS,1.5 BLUEHDI 110 S&S FEEL PACK BV6,2022,28,Diesel,110-130,Manuelle,5,5,11 038 ,23 580 
FIAT 500 X,(2) 1.6 MULTIJET 120 LIGUE 1 CONFORAMA,2018,44,Diesel,110-130,Manuelle,5,5,82 441 ,18 880 
RENAULT KADJAR,1.6 DCI 130 ENERGY INTENS 4WD,2018,65,Diesel,110-130,Manuelle,5,5,76 362 ,18 680 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE PACK,2020,68,Diesel,110-130,Manuelle,5,5,13 934 ,20 470 
VOLKSWAGEN GOLF 8,VIII 2.0 TDI SCR 115 LIFE BUSINESS 1ST BV6,2021,77,Diesel,110-130,Manuelle,5,5,14 741 ,29 250 
RENAULT KANGOO 2,II (2) 1.5 DCI 90 FT ZEN,2015,91,Diesel,110-130,Manuelle,5,5,68 622 ,15 780 
BMW X1 F48,(F48) (2) SDRIVE18D LOUNGE,2020,67,Diesel,110-130,Manuelle,5,5,36 615 ,33 470 
RENAULT KADJAR,(2) 1.5 DCI BLUE 115 INTENS,2018,62,Diesel,110-130,Manuelle,5,5,54 845 ,22 780 
OPEL ASTRA 5 SPORTS TOURER,V SPORTS TOURER 1.6 DIESEL 110 BUSINESS EDITION,2017,58,Diesel,110-130,Manuelle,5,5,71 908 ,19 620 
JEEP RENEGADE,1.6 MULTIJET S&S 120 LONGITUDE BUSINESS,2016,13,Diesel,110-130,Manuelle,5,5,106 786 ,15 500 
AUDI Q5 (2E GENERATION),II 2.0 TDI 150 BUSINESS EXECUTIVE,2017,29,Diesel,110-130,Manuelle,5,5,97 381 ,30 430 
FIAT 500 L,(2) 1.3 MULTIJET 95 S/S HEY GOOGLE,2022,72,Diesel,110-130,Manuelle,5,5,2 875 ,24 130 
NISSAN JUKE,(2) 1.5 DCI 110 N-CONNECTA EURO6,2020,77,Diesel,110-130,Manuelle,5,5,14 070 ,17 940 
CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S LIVE BV6,2022,84,Diesel,110-130,Manuelle,5,5,144 ,21 380 
LAND ROVER RANGE ROVER EVOQUE,(2) TD4 150 SE DYNAMIC,2017,31,Diesel,110-130,Manuelle,5,5,97 650 ,26 140 
RENAULT CAPTUR,(2) 1.5 DCI 90 INTENS,2018,86,Diesel,110-130,Manuelle,5,5,10 896 ,21 160 
RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 BUSINESS,2022,91,Diesel,110-130,Manuelle,5,5,15 665 ,21 070 
AUDI Q3,(2) 2.0 TDI 150 AMBIENTE QUATTRO,2016,67,Diesel,110-130,Manuelle,5,5,27 760 ,27 350 
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT BV6,2016,27,Diesel,110-130,Manuelle,5,5,80 510 ,29 020 
RENAULT MEGANE 4 ESTATE,IV ESTATE 1.5 DCI 95 BLUE BUSINESS,2021,91,Diesel,110-130,Manuelle,5,5,53 142 ,17 320 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BUSINESS BV6,2021,13,Diesel,110-130,Manuelle,5,5,35 187 ,19 260 
DS DS 3 CROSSBACK,1.5 BLUEHDI 100 SO CHIC,2021,37,Diesel,110-130,Manuelle,5,5,28 433 ,28 780 
PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 100 ACTIVE BV6,2021,28,Diesel,110-130,Manuelle,5,5,18 260 ,26 040 
DACIA DUSTER,(2) 1.5 DCI 110 LAUREATE PLUS 4X2,2015,93,Diesel,110-130,Manuelle,5,5,51 111 ,14 160 
MINI COUNTRYMAN 2,II ONE D 116 EDITION OAKWOOD BV6,2019,79,Diesel,110-130,Manuelle,5,5,161 660 ,22 400 
BMW X1 F48,(F48) XDRIVE18D LOUNGE,2018,78,Diesel,110-130,Manuelle,5,5,56 547 ,32 610 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BUSINESS BV6,2021,76,Diesel,110-130,Manuelle,5,5,180 ,20 090 
CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S 7CV FEEL BV6,2020,87,Diesel,110-130,Manuelle,5,5,4 921 ,33 880 
BMW X1 F48,(F48) XDRIVE18D LOUNGE,2017,2,Diesel,110-130,Manuelle,5,5,116 228 ,24 130 
HYUNDAI IX20,(2) 1.6 CRDI 115 BLUE DRIVE INTUITIVE,2017,4,Diesel,110-130,Manuelle,5,5,67 479 ,15 210 
FORD C-MAX 2,II 1.6 TDCI 95 FAP TITANIUM BVM6,2011,78,Diesel,110-130,Manuelle,5,5,164 197 ,8 210 
MINI MINI 3 CLUBMAN,III CLUBMAN COOPER D 150 KENSINGTON BV6,2019,57,Diesel,110-130,Manuelle,5,5,52 181 ,25 090 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 INTENS,2018,62,Diesel,110-130,Manuelle,5,5,25 480 ,25 720 
RENAULT SCENIC 4,IV 1.6 DCI 130 ENERGY SL LIMITED,2018,83,Diesel,110-130,Manuelle,5,5,67 256 ,19 220 
RENAULT KADJAR,(2) 1.8 BLUE DCI 150 INTENS,2021,81,Diesel,110-130,Manuelle,5,5,24 681 ,27 910 
PEUGEOT 308,1.6 HDI 112 FAP PREMIUM BVM6 5P,2008,77,Diesel,110-130,Manuelle,5,5,170 137 ,5 870 
CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.5 BLUEHDI 100 S&S FEEL,2020,81,Diesel,110-130,Manuelle,5,5,46 828 ,24 720 
RENAULT SCENIC 3,III (2) 1.6 DCI 130 ENERGY LOUNGE ECO2,2012,77,Diesel,110-130,Manuelle,5,5,208 650 ,6 940 
HONDA CIVIC 9,IX 2.2 I-DTEC 150 EXECUTIVE,2013,3,Diesel,110-130,Manuelle,5,5,226 560 ,7 780 
HYUNDAI TUCSON 3,III (2) 1.6 CRDI 115 INTUITIVE,2017,56,Diesel,110-130,Manuelle,5,5,77 219 ,22 520 
MERCEDES CLASSE B 2,II (2) 200 D SENSATION,2017,74,Diesel,110-130,Manuelle,5,5,68 583 ,24 870 
PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK,2020,76,Diesel,110-130,Manuelle,5,5,4 878 ,39 510 
JEEP RENEGADE,(2) 1.6 MULTIJET S&S 120 LIMITED,2019,72,Diesel,110-130,Manuelle,5,5,50 159 ,20 650 
OPEL ASTRA 5 SPORTS TOURER,V (2) SPORTS TOURER 1.5 DIESEL 122 EDITION BUSINESS,2021,45,Diesel,110-130,Manuelle,5,5,10 004 ,24 140 
BMW SERIE 2 F45 ACTIVE TOURER,(F45) (2) ACTIVE TOURER 216D M SPORT,2017,51,Diesel,110-130,Manuelle,5,5,33 471 ,25 400 
OPEL ASTRA 3 BREAK,III BREAK 1.7 CDTI 110 ECOFLEX ENJOY,2008,92,Diesel,110-130,Manuelle,5,5,292 649 ,3 340 
CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S 7CV SHINE BV6,2022,68,Diesel,110-130,Manuelle,5,5,5 534 ,35 610 
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 115 BLUEMOTION TECHNOLOGY SOUND BV6,2018,27,Diesel,110-130,Manuelle,5,5,86 930 ,27 930 
VOLKSWAGEN PASSAT 7 SW,VII SW 2.0 TDI 140 FAP BLUEMOTION TECHNOLOGY CARAT,2013,77,Diesel,110-130,Manuelle,5,5,60 213 ,13 880 
PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 110 S&S STYLE,2022,84,Diesel,110-130,Manuelle,5,5,1 120 ,27 420 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,2022,93,Diesel,110-130,Manuelle,5,5,46 227 ,16 320 
HYUNDAI I20,1.4 CRDI 75 PACK SENSATION 5P,2012,60,Diesel,110-130,Manuelle,5,5,171 273 ,5 430 
VOLKSWAGEN GOLF 8,VIII 2.0 TDI SCR 115 BVM6,2022,67,Diesel,110-130,Manuelle,5,5,26 950 ,27 470 
BMW SERIE 1 F20 5 PORTES,(F20) (2) 116D 116 BUSINESS DESIGN,2017,62,Diesel,110-130,Manuelle,5,5,79 540 ,24 650 
RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,2019,91,Diesel,110-130,Manuelle,5,5,55 368 ,18 890 
HONDA CR-V 4,IV 1.6 I-DTEC 120 2WD COMFORT,2013,34,Diesel,110-130,Manuelle,5,5,101 536 ,18 730 
PEUGEOT 3008,1.6 HDI 112 FAP ACTIVE,2013,56,Diesel,110-130,Manuelle,5,5,92 720 ,12 180 
PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 130 S&S ALLURE PACK,2022,13,Diesel,110-130,Manuelle,5,5,12 427 ,28 060 
SEAT ARONA,1.6 TDI 95 S/S URBAN,2019,6,Diesel,110-130,Manuelle,5,5,21 530 ,21 630 
MINI COUNTRYMAN 2,II COOPER D FINITION BASIC 150 BVM6,2017,32,Diesel,110-130,Manuelle,5,5,45 779 ,31 440 
CITROEN C3 AIRCROSS,1.6 BLUEHDI 110 S&S FEEL BV6,2020,44,Diesel,110-130,Manuelle,5,5,21 002 ,19 810 
RENAULT KADJAR,1.6 DCI 130 ENERGY INTENS,2017,6,Diesel,110-130,Manuelle,5,5,122 831 ,15 590 
RENAULT CAPTUR,(2) 1.5 DCI 90 BUSINESS,2021,91,Diesel,110-130,Manuelle,5,5,83 739 ,13 980 
OPEL ASTRA 5 SPORTS TOURER,V SPORTS TOURER 1.6 DIESEL 110 EDITION BUSINESS,2017,18,Diesel,110-130,Manuelle,5,5,60 088 ,15 350 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,2019,56,Diesel,110-130,Manuelle,5,5,47 697 ,18 280 
PEUGEOT 508 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV ALLURE,2021,59,Diesel,110-130,Manuelle,5,5,12 093 ,33 860 
AUDI Q3,(2) 2.0 TDI ULTRA 150 AMBIENTE,2017,13,Diesel,110-130,Manuelle,5,5,92 260 ,23 920 
DACIA DUSTER 2,II 1.5 DCI 110 CONFORT 4X2,2017,78,Diesel,110-130,Manuelle,5,5,45 996 ,17 740 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 LIFE,2020,91,Diesel,110-130,Manuelle,5,5,56 396 ,18 130 
DACIA DUSTER 2,II 1.5 DCI 90 DUSTER 4X2,2018,72,Diesel,110-130,Manuelle,5,5,31 000 ,16 920 
CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,2021,56,Diesel,110-130,Manuelle,5,5,27 686 ,16 780 
JEEP COMPASS 2,II 1.6 MJET 120 SPORT,2017,5,Diesel,110-130,Manuelle,5,5,38 742 ,27 020 
OPEL MOKKA X,1.6 CDTI 136 4WD ELITE,2016,40,Diesel,110-130,Manuelle,5,5,106 480 ,18 130 
OPEL ASTRA 5,V (2) 1.5 DIESEL 122 ELEGANCE,2021,51,Diesel,110-130,Manuelle,5,5,22 752 ,18 850 
CITROEN C3 AIRCROSS,1.5 BLUEHDI 100 S&S SHINE BUSINESS BV6,2019,56,Diesel,110-130,Manuelle,5,5,56 345 ,21 400 
KIA CEED 3,III 1.6 CRDI 136 ISG IBVM6 MHEV ACTIVE,2020,6,Diesel,110-130,Manuelle,5,5,21 446 ,24 040 
BMW X1 F48,(F48) SDRIVE18D M SPORT,2020,51,Diesel,110-130,Manuelle,5,5,61 950 ,34 560 
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 INTENS,2020,63,Diesel,110-130,Manuelle,5,5,27 724 ,24 340 
VOLKSWAGEN TOURAN 3,III 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT,2015,31,Diesel,110-130,Manuelle,5,5,91 798 ,23 220 
KIA SPORTAGE 4,IV 1.7 CRDI 115 ISG GT LINE 2WD,2016,78,Diesel,110-130,Manuelle,5,5,33 600 ,22 380 
NISSAN QASHQAI,(2) 1.5 DCI 110 6CV ACENTA,2014,86,Diesel,110-130,Manuelle,5,5,125 852 ,12 950 
CITROEN NEMO COMBI,MULTISPACE 1.3 HDI 80 CONFORT,2014,91,Diesel,110-130,Manuelle,5,5,16 438 ,12 630 
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT BV6,2017,83,Diesel,110-130,Manuelle,5,5,77 477 ,30 400 
