Marque;Model;Année;Kilométrage;Code Postal;Prix
SEAT TARRACO;2.0 TDI 150 S/S XCELLENCE 7PL;2018;48061;78;33750
CITROEN C3 (3E GENERATION);III (2) PURETECH 83 S&S YOU;2022;12;33;16660
TOYOTA COROLLA 12;XII HYBRIDE 184H 8CV COLLECTION;2019;12066;78;31590
AUDI A6 (5E GENERATION);V 45 TDI 231 QUATTRO S LINE TIPTRONIC;2018;25300;25;54890
AUDI A5 (2E GENERATION);II 2.0 TDI 190 S LINE S TRONIC;2018;90609;95;32180
AUDI A3 (3E GENERATION) SPORTBACK;III (2) SPORTBACK 35 TDI 150 BUSINESS LINE S TRONIC 7;2020;54414;24;30760
CITROEN BERLINGO 2;II (3) 1.6 BLUEHDI 100 S&S BUSINESS M;2016;127460;24;15450
TOYOTA YARIS 3;III (2) 69 VVT-I FRANCE 5P;2015;59458;78;11480
RENAULT MEGANE 4;IV (2) 1.5 BLUE DCI 115 INTENS;2020;12;69;25490
PEUGEOT RIFTER;1.5 BLUEHDI 100 S&S STYLE;2022;9204;33;33970
BMW SERIE 1 F20 5 PORTES;(F20) (2) 116D BUSINESS DESIGN;2019;112261;33;19190
DODGE RAM;1500 5.7 V8 390 HEMI CREW CAB LARAMIE;2022;41;69;109030
VOLKSWAGEN T-ROC;1.5 TSI 150 EVO R-LINE DSG7;2023;6300;69;36720
AUDI S4 AVANT (4E GENERATION);IV (2) AVANT 3.0 TFSI 333 S4 S TRONIC 7;2011;134685;74;39340
CITROEN C4 PICASSO 2;II 1.6 E-HDI 115 INTENSIVE ETG6;2015;163995;80;11550
MERCEDES CLASSE E 4;IV 350 CDI BLUEEFFICIENCY AVANTGARDE EXECUTIVE 7G-TRONIC;2009;161284;95;20480
PEUGEOT PARTNER 3 FOURGON;III 1.6 BLUEHDI 100 S&S 650KG STAND ASPHALT;2017;80643;66;23080
DS DS 7 CROSSBACK;1.5 BLUEHDI 130 PERFORMANCE LINE+ EAT8;2020;21243;24;45730
