Marque;Model;Année;Kilométrage;Code Postal;Prix
VOLKSWAGEN TIGUAN;(2) 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT;2017;155440;24;22850
SEAT ATECA;2.0 TDI 190 S&S 11CV 4DRIVE XCELLENCE DSG7;2019;108000;25;32280
RENAULT GRAND SCENIC 4;IV 1.7 DCI BLUE 150 BUSINESS INTENS EDC;2018;54953;69;28730
JEEP COMPASS 2;II 1.6 MJET 120 LONGITUDE BUSINESS;2019;62323;24;22870
VOLKSWAGEN T-ROC;2.0 TDI 150 CARAT DSG7;2022;11377;69;36450
PEUGEOT 508;1.6 THP 155 ALLURE;2010;70834;95;12800
PEUGEOT 308 (3E GENERATION);III 1.2 PURETECH 130 S&S ACTIVE PACK;2019;39499;28;21650
RENAULT CLIO 4;IV 1.5 DCI 90 ENERGY INTENS;2018;57213;35;17430
BMW X1 F48;(F48) SDRIVE16D SPORT DKG7;2018;69340;24;32530
PEUGEOT 308 (2E GENERATION) SW;II SW 1.6 BLUEHDI 120 S&S ALLURE;2015;88958;24;15730
PEUGEOT 308 (2E GENERATION) SW;II (2) SW 1.2 PURETECH 130 S&S ACTIVE BUSINESS EAT8;2018;110555;35;16560
FIAT 500 X;2.0 MULTIJET 140 OPENING EDITION 4X4 AT9;2017;113950;47;16260
PORSCHE 911 TYPE 991 TARGA;(991) (2) 3.0 450 34CV TARGA 4 GTS PDK7;2017;47082;27;187500
AUDI Q2;30 TDI 116 DESIGN LUXE;2020;15824;69;33330
FORD B-MAX;1.5 TDCI 95 S&S EDITION;2014;186250;57;9470
MERCEDES CLASSE B 2;II 180 CDI DESIGN;2014;177089;80;13370
MERCEDES CLK 2;II 200 K AVANTGARDE BVA 10CV;2007;126564;95;12680
CITROEN C3 (3E GENERATION);III 1.6 BLUEHDI 100 S&S SHINE BUSINESS;2016;17660;47;17010
AUDI A3 (3E GENERATION) SPORTBACK;III SPORTBACK 2.0 TDI 150 DPF S LINE S TRONIC;2016;31694;92;27540
MERCEDES CLASSE A 2;II (2) 160 CDI CLASSIC BLUEEFFICIENCY 5P;2012;103847;28;7870
AUDI A5 SPORTBACK (2E GENERATION);II SPORTBACK 3.0 TDI V6 218 DESIGN LUXE QUATTRO S TRONIC 7;2017;101230;25;35510
CITROEN C4 (3E GENERATION);III 1.5 BLUEHDI 130 S&S FEEL PACK EAT8;2022;1;42;27770
JEEP RENEGADE;(2) 1.6 L MULTIJET 120 LIMITED BVR6;2020;28520;37;26480
AUDI A4 (5E GENERATION);V 1.4 TFSI 150 S LINE S TRONIC;2017;15138;31;33140
BMW SERIE 4 F36 GRAN COUPE;(F36) GRAN COUPE 430I XDRIVE 252 M SPORT BVA8;2017;76174;28;33060
AUDI A6 (5E GENERATION) AVANT;V AVANT 50 TDI 286 S LINE QUATTRO TIPTRONIC;2018;39665;67;69430
RENAULT MEGANE 3 COUPE CABRIOLET;III COUPE CABRIOLET 2.0 DCI 160 FAP GT EURO5;2009;102608;95;14800
CHEVROLET CAMARO 6;VI COUPE 6.2 650 10AT ZL1;2018;4000;67;136120
RENAULT KANGOO 2;II (2) 1.5 DCI 90 ENERGY FT INTENS;2016;167813;24;9700
MINI MINI 3 3P;III COOPER S 192 BVA7 3P;2021;25630;33;31790
LAND ROVER DISCOVERY SPORT;2.0 TD4 180 HSE 4WD AUTO;2017;98700;24;28240
AUDI A3 (3E GENERATION) CABRIOLET;III (2) CABRIOLET 1.5 TFSI 150 S LINE;2017;56650;33;34080
RENAULT MEGANE 4;IV 1.5 DCI 110 ENERGY BUSINESS EDC;2019;42169;66;17740
CITROEN C5 AIRCROSS;1.5 BLUEHDI 130 S&S 7CV FEEL EAT8;2022;40625;24;36980
JAGUAR XKR COUPE;COUPE 4.0 BVA;1998;162564;28;26600
PEUGEOT 208 (2E GENERATION);II 1.2 PURETECH 100 S&S GT;2022;17040;33;25080
PORSCHE 911 TYPE 991 CABRIOLET;(991) (2) CABRIOLET 3.0 450 CARRERA 4 GTS PDK7;2016;39760;51;156680
SUBARU B9 TRIBECA;3.0 R 245 SPORTSHIFT 7PL;2006;201049;92;12850
MERCEDES CLA;(2) 200 9CV BUSINESS EDITION 7G-DCT;2017;5559;69;36400
MERCEDES CLASSE M;(2) ML 270 CDI BVA;2002;178244;11;11880
RENAULT MEGANE 4;IV 1.5 DCI 115 BLUE INTENS EDC;2021;37312;78;21880
CITROEN C3 AIRCROSS;1.5 BLUEHDI 100 S&S SHINE BV6;2020;24999;47;21580
CITROEN C3 (3E GENERATION);III 1.6 BLUEHDI 100 S&S SHINE BUSINESS;2018;54046;47;18890
BMW SERIE 2 F23 CABRIOLET;(F23) CABRIOLET 218I 136 M SPORT BVA8;2015;56120;59;35360
RENAULT ARKANA;1.3 TCE 140 RS LINE EDC 21B;2020;11750;31;34910
PEUGEOT 208;(2) 1.2 PURETECH 110 S&S FELINE 5P;2016;71360;63;16780
VOLKSWAGEN TIGUAN;(2) 2.0 TDI 140 BLUEMOTION TECHNOLOGY CARAT 4MOTION DSG7;2011;87883;55;23180
AUDI Q3 (2E GENERATION) SPORTBACK;II SPORTBACK 35 TDI 150 S LINE S TRONIC;2021;1505;69;58110
RENAULT GRAND SCENIC 4;IV 1.7 DCI 120 BLUE LIFE 7PL;2018;57016;45;21570
RENAULT CLIO 5;V 1.0 TCE 100 BUSINESS;2021;58925;28;15120
FIAT DOBLO 2;II (2) 1.6 MULTIJET 16V 105 DPF LOUNGE MAXI;2019;11349;24;19290
MERCEDES SL 2;II 500 BVA;2003;141482;95;21760
VOLKSWAGEN GOLF 7 SW;VII (2) SW 1.6 TDI 115 BLUEMOTION TECHNOLOGY CONFORTLINE DSG7;2020;94222;55;16570
MAZDA MX5 (3E GENERATION);III ROADSTER COUPE 2.0 160 PERFORMANCE;2010;77438;71;21730
VOLKSWAGEN TIGUAN 2;II 1.5 TSI 150 EVO 8CV CARAT EXCLUSIVE DSG7;2020;36074;78;39790
MINI MINI 3 5P;III 1.5 136 COOPER 5P;2016;39100;24;19430
KIA XCEED;1.6 CRDI 115 ISG ACTIVE DCT7;2021;30025;26;28910
VOLKSWAGEN TOUAREG 3;III 3.0 TSI 381 EHYBRID ELEGANCE;2020;20416;69;88790
PEUGEOT 3008 (2E GENERATION);II 1.5 BLUEHDI 130 S&S ALLURE BUSINESS;2017;84210;69;28130
RENAULT CAPTUR;(2) 1.5 DCI 90 ENERGY INTENS EDC;2019;122642;91;13920
AUDI Q5 (2E GENERATION);II 40 TDI 190 S LINE QUATTRO S TRONIC 7;2018;67258;74;53300
TOYOTA COROLLA 12;XII HYBRIDE 122H 5CV DYNAMIC;2020;14;69;29620
MERCEDES CLASSE E 4 CABRIOLET;IV (2) CABRIOLET 220 CDI EXECUTIVE 7G-TRONIC;2015;80850;24;26140
NISSAN JUKE;1.6 94 VISIA;2015;113214;80;10630
LAND ROVER RANGE ROVER SPORT 2;II (2) 5.0 V8 SUPERCHARGED SVR AUTO CARBON EDITION;2017;93090;63;84500
JEEP GLADIATOR;RUBICON CREW CAB V6 3.6;2022;24;67;97470
AUDI Q3 (2E GENERATION);II 35 TFSI 150 DESIGN LUXE S TRONIC 7;2018;28885;30;44570
AUDI A4 (5E GENERATION) AVANT;V AVANT 1.4 TFSI 150 BUSINESS LINE S TRONIC;2017;100191;35;30110
RENAULT KANGOO 2 SOCIETE;II EXPRESS CONFORT L1 DCI 75 6CV EURO5;2017;95235;24;10970
AUDI A3 (4E GENERATION) SPORTBACK;IV SPORTBACK 35 TFSI 150 DESIGN S TRONIC;2019;19624;1;36190
RENAULT GRAND SCENIC 3;III (3) 1.6 DCI 130 ENERGY BUSINESS 7PL ECO2;2016;118161;24;16450
MINI MINI 2 CABRIOLET;II CABRIOLET 1.6 112 COOPER D;2014;130540;24;16950
AUDI Q3 (2E GENERATION);II 35 TDI 150 S LINE S TRONIC 7;2022;23352;30;54150
CITROEN C3 AIRCROSS;1.6 BLUEHDI 100 S&S FEEL BV6;2020;52593;47;19530
PEUGEOT 308 (2E GENERATION);II (2) 1.5 BLUEHDI 130 S&S ALLURE BUSINESS EAT6;2020;120987;78;16260
BMW SERIE 8 G15;(G15) 840DA 320 XDRIVE M SPORT;2020;76703;66;77680
CITROEN C5 AIRCROSS;2.0 BLUEHDI 180 S&S FEEL EAT8;2018;200836;95;22850
CUPRA FORMENTOR;2.0 TSI 310 4DRIVE VZ DSG7;2019;15611;30;66540
PORSCHE 911 TYPE 992 TARGA;(992) 3.0 450 TARGA 4S;2021;15390;75;237120
VOLKSWAGEN T-ROC;2.0 TDI 150 CARAT DSG7;2018;92363;69;27670
LAND ROVER RANGE ROVER VELAR;2.0 D240 14CV 4WD SE R-DYNAMIC AUTO;2019;24861;60;70090
FORD FIESTA 6;VI 1.5 TDCI 85 S&S BUSINESS NAV 5P;2019;57895;38;12580
PEUGEOT 3008 (2E GENERATION);II 1.5 BLUEHDI 130 S&S ALLURE;2019;161816;91;17490
AUDI Q3 (2E GENERATION);II 35 TDI 150 DESIGN S TRONIC 7;2019;63003;84;37080
DS DS 7 CROSSBACK;2.0 BLUEHDI 180 GRAND CHIC AUTOMATIQUE;2019;141861;95;28770
MAZDA MX5 (4E GENERATION) ST;IV ST 2.0 SKYACTIV-G 160 SELECTION EDITION SPECIALE;2015;38564;71;29740
DS DS 3;(2) 1.6 E-HDI 90 EXECUTIVE;2012;155082;16;11890
MERCEDES-AMG GT 4 PORTES;(2) 53 AMG 4MATIC+ SPEEDSHIFT TCT;2020;63647;61;130960
PEUGEOT 208;(2) 1.2 PURETECH 110 S&S ALLURE 5P;2017;63348;78;14830
PEUGEOT 208;1.6 VTI 120 FELINE AUTO;2013;124088;11;12380
PEUGEOT 308 (2E GENERATION) SW;II (2) SW 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8;2017;75930;35;18740
CITROEN C4 CACTUS;(2) 1.5 BLUEHDI 100 S&S SHINE BV6;2019;127232;47;14980
VOLKSWAGEN T-ROC;1.0 TSI 110 LOUNGE;2021;115;33;30930
CITROEN C5 AIRCROSS;1.5 BLUEHDI 130 S&S FEEL PACK EAT8;2021;12;33;40460
VOLKSWAGEN AMAROK;(2) DOUBLE CABINE 3.0 TDI 258 4MOTION 4X4 PERMANENT DUCATI DIAVEL EDITION BVA8;2018;69165;95;59480
AUDI Q3;2.0 TDI 140 AMBIENTE;2013;113058;55;21260
AUDI A3 (3E GENERATION) CABRIOLET;III CABRIOLET 2.0 TDI 150 7CV AMBIENTE;2015;90223;66;29230
PEUGEOT 3008 (2E GENERATION);II 1.6 BLUEHDI 120 S&S ALLURE BUSINESS EAT6;2018;131983;35;24530
LAND ROVER RANGE ROVER VELAR;2.0 D240 4WD SE R-DYNAMIC AUTO;2019;45060;24;66650
PEUGEOT 407;(2) 2.0 HDI 163 FAP SIGNATURE BVA;2011;124177;11;10420
RENAULT MEGANE 4;IV 1.2 TCE 130 ENERGY INTENS EDC;2018;47580;31;20110
SKODA SUPERB 3 COMBI;III (2) COMBI 2.0 TDI SCR 150 8CV BUSINESS DSG7;2020;17918;30;33970
AUDI Q3;(2) 2.0 TDI ULTRA 150 AMBIENTE;2015;81339;78;27810
VOLKSWAGEN GOLF 7;VII (2) 1.6 TDI 115 BLUEMOTION TECHNOLOGY CONFORT BUSINESS DSG7 5P;2017;96936;63;21000
